"id","n","type"
"Carricarte, Arturo R. de",1,"person"
"Carriego, Evaristo",2,"person"
"Carrillo, Enrique A.",5,"person"
"Carvajal Borrero, Mario",16,"person"
"Carvajal, Alberto",4,"person"
"Carvajal, M.A.",10,"person"
"Carvajal, Manuel A.",2,"person"
"Carvajal, Manuel Antonio",16,"person"
"Casal, Julián del",1,"person"
"Casas Castañeda, José Joaquín ",4,"person"
"Casas Castañeda, Vicente",1,"person"
"Castelar, Emilio",1,"person"
"Castell, Ángel María",1,"person"
"Castello, Carlos",4,"person"
"Castello, Manuel",1,"person"
"Castilla Baena, Clodomiro",1,"person"
"Castillo, Eduardo",6,"person"
"Castro y Serrano, José de",1,"person"
"Castro, Alfonso",12,"person"
"Castro, Eugenio de",4,"person"
"Ceballos Quintana, Enrique",2,"person"
"Cervantes, Edmundo",1,"person"
"Cervantes, Próspero",1,"person"
"Cervera, Manuel",3,"person"
"Cervera, Manuel S.",1,"person"
"Céspedes, Ángel María",6,"person"
"Cestero, Tulio ",1,"person"
"Cestero, Tulio Manuel ",2,"person"
"Charton, Ernest",1,"person"
"Chaumeix, André",1,"person"
"Chaux, Simón",1,"person"
"Chaves, J.R.",1,"person"
"Chen Jitong",1,"person"
"Chénier, André",1,"person"
"Claretie, Jules",1,"person"
"Claussen, Sophus",1,"person"
"Clavijo Durán, Antonio",1,"person"
"Cobban, J. MacLaren ",1,"person"
"Colín, Eduardo",2,"person"
"Coll, Pedro Emilio ",1,"person"
"Collas, Louis-Charles ",1,"person"
"Cólogan y Cólogan, Bernardo Jacinto de ",1,"person"
"Colorado, Vicente",1,"person"
"Comandante de Civrieux",1,"person"
"Consuegra, Manuel S.",1,"person"
"Contreras, Francisco",1,"person"
"Cooke, John Esten",1,"person"
"Coppée, François",3,"person"
"Coradine, Alberto",11,"person"
"Cordovez Moure, José María",3,"person"
"Corral, Jesús M. del",6,"person"
"Corral, M. Antonio del",1,"person"
"Correa, Ramón",1,"person"
"Creta, Ruy de",1,"person"
"Cruz, Efraím de la",2,"person"
"Cruz, Jorge de la ",4,"person"
"Cuéllar Durán, Zoilo",1,"person"
"Cuervo Márquez, Carlos",5,"person"
"Cuervo Márquez, Emilio",9,"person"
"Cuervo, Luis Augusto",8,"person"
"Cuervo, Rufino José",3,"person"
"D'Annunzio, Gabriele",13,"person"
"D'Avenel, Vizconde",1,"person"
"D'Enjoÿ, Paul",1,"person"
"D'Hervilly, Ernest ",1,"person"
"D'Ors, Eugenio",5,"person"
"Dahlgren, E.N.",1,"person"
"Darío, Rubén",15,"person"
"Daudet, Alphonse",3,"person"
"Davray, Henry-D.",1,"person"
"Delgado, Jorge E.",1,"person"
"Deslys, Charles",3,"person"
"Desroix, Jacques",1,"person"
"Déubel, Leon",1,"person"
"Díaz del Castillo, Ildefonso",1,"person"
"Díaz Guerra, Alirio",1,"person"
"Díaz Rodríguez, Manuel ",1,"person"
"Díaz Romero, Eugenio",2,"person"
"Díaz, Leopoldo",6,"person"
"Díaz, Pedro Pablo",1,"person"
"Dicenta, Joaquín",8,"person"
"Díez Canedo, Enrique",1,"person"
"Díez Canedo, Manuel",1,"person"
"Diuribía, Marcel",1,"person"
"Donato Navarro, Manuel",2,"person"
"Dumas, Joël",1,"person"
"Duque Uribe, Rafael",15,"person"
"Duque, Antonio de J.",2,"person"
"Dymón",1,"person"
"Eastman, Tomás Oziel",3,"person"
"Echagüe, Francisco",1,"person"
"Echavarría Vélez, Liborio",1,"person"
"Echegaray, José",1,"person"
"Echegorri, P.",1,"person"
"Echeverri, Camilo Antonio",6,"person"
"Echeverría, Eduardo",4,"person"
"Echeverría, Marcelino",2,"person"
"EDOS",1,"person"
"Eraña, Silverio",1,"person"
"Escallón, Rafael",4,"person"
"Escobar Larrazábal, Melitón",21,"person"
"Escobar Padilla, Cenón",1,"person"
"Escobar Pino, Roberto",3,"person"
"Escobar R., Eusebio",1,"person"
"Escobar Roa, Rafael",2,"person"
"Escobar Rojo, Severo",4,"person"
"Escobar Sarmiento, Ricardo",2,"person"
"Escobar, Felipe S.",1,"person"
"Escobar, Francisco",1,"person"
"Escobar, Mario",3,"person"
"Escobar, Pedro Ignacio",7,"person"
"Escovar Gaviria, Gonzalo",2,"person"
"Escovar, José María",8,"person"
"Esguerra Ortiz, Joaquín",1,"person"
"Esguerra, Manuel",2,"person"
"Esguerra, Nicolás",1,"person"
"Espinosa Guzmán, Rafael",31,"person"
"Espinosa, Roberto",1,"person"
"Esquivel Obregón, Toribio",1,"person"
"Estrada Paniagua, Felipe",1,"person"
"Fallon, Diego ",1,"person"
"Febres Cordero, Tulio",3,"person"
"Fernández Avendaño, Enrique Wenceslao",14,"person"
"Fernández García, Alejandro",6,"person"
"Fernández Ríos, Ovidio",1,"person"
"Fernández Villegas, Francisco",1,"person"
"Fernández, Manuel M.",2,"person"
"Fernández, Rafael César",1,"person"
"Ferrari, Emilio",1,"person"
"Ferrer L., Eduardo",1,"person"
"Ferrer, Jesús",4,"person"
"Ferrero, Guillermo",1,"person"
"Féval, Paul",1,"person"
"Fleuriot-Kerinou, Francis",1,"person"
"Flórez Álvarez, Ester",3,"person"
"Flórez Galindo, Federico ",1,"person"
"Flórez, Julio",7,"person"
"Fort, Paul",7,"person"
"France, Anatole",1,"person"
"Francés, José",1,"person"
"Francisco, Julio de",8,"person"
"Francisco, Ricardo de",1,"person"
"Franco, Enrique",1,"person"
"Frontaura, Carlos",1,"person"
"Fx. B.",1,"person"
"Gabriac, Alexis de",1,"person"
"Gaitán O., Gustavo",4,"person"
"Galindo, Aníbal",1,"person"
"Gálvez, Manuel",1,"person"
"Gamboa, Isaías",1,"person"
"Gamboa, Mateo",1,"person"
"Gamero, Luis ",1,"person"
"Garavito Armero, Julio",2,"person"
"Garay, Epifanio",4,"person"
"Garcés, Enrique",3,"person"
"Garcés, Leopoldo",2,"person"
"García Calvo, Federico ",1,"person"
"García Mérou, Martín",1,"person"
"García Ortiz, Laureano",4,"person"
"García Rico, Francisco",1,"person"
"García Samudio, Nicolás",5,"person"
"García Zamudio, Nicolás",1,"person"
"García, Evaristo",1,"person"
"García, Juan Crisóstomo",1,"person"
"Gartner, Hugo",1,"person"
"Gautier, Judith",2,"person"
"Gautier, Théophile",1,"person"
"Gaviria Arango, Enrique",1,"person"
"Gaviria I., Henrique",1,"person"
"Gaviria Isaza, Henrique",1,"person"
"Gaviria, José A.",4,"person"
"Gebhart, Émile",1,"person"
"Gerin, Gabriel",1,"person"
"Gide, André",3,"person"
"Gil, Constantino",2,"person"
"Gil, Ricardo",1,"person"
"Giraldo, Francisco",1,"person"
"Giraud, Victor",1,"person"
"Girón, Lázaro María",1,"person"
"Goenaga, Florentino",1,"person"
"Goethe, Johann Wolfgang von",2,"person"
"Gómez Barrientos, Estanislao",12,"person"
"Gómez Carrillo, Enrique",7,"person"
"Gómez de Baquero, Eduardo",2,"person"
"Gómez E., Bernardo",2,"person"
"Gómez Escobar, Francisco",15,"person"
"Gómez Jaime de Abadía, Herminia",1,"person"
"Gómez Jaime, Alfredo",6,"person"
"Gómez Naranjo, Abelardo",2,"person"
"Gómez Restrepo, Antonio",21,"person"
"Gómez, Enrique",1,"person"
"Gómez, Jaime Alfredo",1,"person"
"Gómez, Lucas",1,"person"
"Gómez, Plinio",1,"person"
"Gomperz, Theodor",3,"person"
"Gonzaga Urbina, Luis",1,"person"
"González Blanco, Andrés",4,"person"
"González Obregón, Luis",1,"person"
"González Ochoa, Fernando",6,"person"
"González Serrano, Urbano",1,"person"
"González Suárez, Federico",1,"person"
"González Torres, A.",1,"person"
"Gorki, Maksim",1,"person"
"Gourmont, Remy de",8,"person"
"Goya, Antonio",1,"person"
"Goyau, Georges ",1,"person"
"Graf, Arturo",1,"person"
"Gramont, Luciano",1,"person"
"Grant, Allen",2,"person"
"Grégory, Pedro N.",1,"person"
"Greiff, Carlos de",1,"person"
"Greiff, León de",8,"person"
"Greiff, Luis de",87,"person"
"Grillo, Maximiliano",37,"person"
"Groot, José Manuel",1,"person"
"Guardia, Ernesto de la",1,"person"
"Güell, Joaquín M.",6,"person"
"Güell, Joaquín M. ",1,"person"
"Guérin, Charles",1,"person"
"Guérin, Maurice de",2,"person"
"Guerra Azuola, Ramón",6,"person"
"Guerrero, Rafael",1,"person"
"Guerrini, Olindo",2,"person"
"Gumucio, Adulfo de",1,"person"
"Gutiérrez B., Germán",1,"person"
"Gutiérrez de Alba, José María",2,"person"
"Gutiérrez González, Gregorio",2,"person"
"Gutiérrez Robledo, Julio",1,"person"
"Gutiérrez, Felipe Santiago",1,"person"
"Gutiérrez, Francisco A.",1,"person"
"Guyau, Jean-Marie",1,"person"
"Guzmán Esponda, Eduardo",1,"person"
"Guzmán, César Coronado",1,"person"
"Hawthorne, Nathaniel",1,"person"
"Hearn, Lafcadio",3,"person"
"Heine, Heinrich",5,"person"
"Henao, Federico Carlos",15,"person"
"Hephel",2,"person"
"Heredia Márquez, Francisco de",1,"person"
"Heredia Márquez, Francisco de ",3,"person"
"Heredia, José María de",13,"person"
"Hermant, Abel",1,"person"
"Hernández Catá, Alfonso",1,"person"
"Hernández, Luis María",1,"person"
"Herrán, Pablo Emilio",1,"person"
"Herrera, Benjamín",1,"person"
"Hidalgo Lara, Tomás",2,"person"
"Hinestroza Daza, Ricardo",5,"person"
"Hoffmann, Ernst Theodor Amadeus",1,"person"
"Holguín Caro, Hernando",3,"person"
"Holguín, Jorge",2,"person"
"Hoyos y Vinent, Antonio de",1,"person"
"Hoyos, Sebastián",1,"person"
"Hugo, Victor",5,"person"
"Huysmans, Joris-Karl",1,"person"
"Ibáñez, Pedro María",9,"person"
"Icaza, Francisco A. de",3,"person"
"Ingenieros, José",2,"person"
"Isaacs, Jorge",4,"person"
"Isaacs, Lisímaco",1,"person"
"Isaza, Fernando",1,"person"
"Isaza, Horacio",3,"person"
"Isaza, Teodomiro",6,"person"
"Jackson Veyán, José",1,"person"
"Jaloux, Edmond",1,"person"
"Jammes, Francis ",2,"person"
"Jaramillo A., Roberto",3,"person"
"Jaramillo Arango, Rafael",7,"person"
"Jaramillo Arango, Roberto ",1,"person"
"Jaramillo Córdoba, Federico",1,"person"
"Jaramillo Jaramillo, Germán ",1,"person"
"Jaramillo Medina, Francisco",5,"person"
"Jaramillo Meza, Juan Bautista ",1,"person"
"Jaramillo P., Escipión",5,"person"
"Jaramillo, Bernardo",8,"person"
"Jaramillo, Emilio",2,"person"
"Jaramillo, Joaquín Emilio",1,"person"
"Jeunesse, Ernest La",1,"person"
"Jiménez de la Espada, Marcos",2,"person"
"Jiménez López, Miguel",4,"person"
"Jiménez, Juan Ramón",4,"person"
"Jiménez, Tobías",2,"person"
"Joubert, Joseph",1,"person"
"Joufrez, Lila de",1,"person"
"Jouy, Victor Joseph Étienne de",1,"person"
"Jugo Ramírez, Diego",1,"person"
"Kaminsky-Halpérine, Ilya",1,"person"
"Khayyam, Omar ",1,"person"
"Kipling, Rudyard",2,"person"
"L'Heureux, Marcel",1,"person"
"Lamartine, Alphonse de",2,"person"
"Lambert, Suzanne",1,"person"
"Lapauze, Jeanne",1,"person"
"Larra, Gilberto E.",1,"person"
"Larrazábal, Antonio",1,"person"
"Latorre, Francisco A.",3,"person"
"Latorre, Gabriel",13,"person"
"Laverde Amaya, Isidoro",77,"person"
"Laverde Liévano, Manuel",1,"person"
"Le Blond, M.",1,"person"
"Le Moyne, Arnaud Auguste Hilaire",3,"person"
"Legouvé, Ernest",1,"person"
"Lemaître, Jules",1,"person"
"Lemly, Henry Rowan",2,"person"
"León Gómez, Adolfo",6,"person"
"Leopardi, Giacomo",1,"person"
"Liévano, Roberto",2,"person"
"Lipparini, Giuseppe",1,"person"
"Lisle, Leconte de",2,"person"
"Lizardo, Pedro",1,"person"
"LL. RR",1,"person"
"Llanos, Luis de",1,"person"
"Lleras A., Alfredo",2,"person"
"Lleras Codazzi, Ricardo",1,"person"
"Londoño, Pedro P.",4,"person"
"Londoño, Víctor Manuel",35,"person"
"Longfellow, Henry Wadsworth",1,"person"
"López de Mesa, Luis",36,"person"
"López Iriarte, E.",1,"person"
"López Lapuya, Isidoro ",1,"person"
"López Penha, Abraham Zacarías ",1,"person"
"López, Alejandro",3,"person"
"López, Ismael",38,"person"
"López, Samuel",1,"person"
"Lorenzana, Máximo",1,"person"
"Loti, Pierre",1,"person"
"Louÿs, Pierre",2,"person"
"Lozano y Lozano, Fabio",8,"person"
"Lozano, Alberto",1,"person"
"Lugo, Silvio",1,"person"
"Lugones, Leopoldo",1,"person"
"Machado, Gonzalo",1,"person"
"Machado, Manuel",3,"person"
"Maeterlinck, Maurice",4,"person"
"Magallanes Moure, Manuel",1,"person"
"Maizeroy, René",2,"person"
"Mallarino, Julio D.",1,"person"
"Mallarmé, Stéphane",2,"person"
"Manrique, Juan E.",1,"person"
"Manrique, Pedro Carlos",1,"person"
"Maragall, Juan",1,"person"
"Marín, Abel",14,"person"
"Márquez Bravo, Tomás",2,"person"
"Márquez Bravo, Tomás ",1,"person"
"Márquez Cuervo, Carlos",1,"person"
"Marquina, Eduardo",3,"person"
"Marquina, Pedro ",1,"person"
"Marroquín, José Manuel",2,"person"
"Martel, L.",1,"person"
"Martín Mateos, Nicomedes",1,"person"
"Martínez Rivas, Federico",1,"person"
"Martínez Ruiz, José",5,"person"
"Martínez Sierra, Gregorio",8,"person"
"Martínez Silva, Carlos",1,"person"
"Martínez Villergas, Juan",1,"person"
"Martínez, Antonio R.",1,"person"
"Martínez, Miguel",1,"person"
"Martón é Izaguirre, J.",1,"person"
"Mateus, Jorge",1,"person"
"Matos Hurtado, Belisario",2,"person"
"Maupassant, Guy de",4,"person"
"May, Dick",1,"person"
"Maya, Juan Antonio",2,"person"
"Maya, Juan F.",1,"person"
"Mayorga Rivas, Román",1,"person"
"Medina, Vicente",5,"person"
"Mejía Ángel, Gustavo ",2,"person"
"Mejía Arango, Félix",14,"person"
"Mejía V., Sebastián",1,"person"
"Mejía, Epifanio",4,"person"
"Mejía, Epifanio ",1,"person"
"Mejía, Gabriel",1,"person"
"Mendès, Catulle",4,"person"
"Méndez y Mendoza, Eugenio",1,"person"
"Méndez, Juan de Dios",1,"person"
"Mendive y Daumy, Rafael María de",1,"person"
"Mendoza, Diego",7,"person"
"Mercado, Julio",1,"person"
"Merchán, Rafael María",5,"person"
"Merezhkovski, Dmitri",1,"person"
"Merizalde Uribe, Antonio",7,"person"
"Merizalde Uribe, Antonio ",2,"person"
"Merrill, Stuart",1,"person"
"Mesa Jaramillo, José María",1,"person"
"Mesa Nicholls, Alejandro",5,"person"
"Mesa, Rafael",35,"person"
"Meteyard, Sidney",1,"person"
"Michaud-D'Hamiae, L.",1,"person"
"Michelsen Uribe, Gustavo",1,"person"
"Mikhaël, Efraín",1,"person"
"Millican, Albert",2,"person"
"Miró Ferrer, Gabriel",1,"person"
"Mockel, Albert",3,"person"
"Moireau, Auguste",1,"person"
"Molina Garcés, Ciro",14,"person"
"Molina Paniagua, Modesto",1,"person"
"Molina, Carlos A.",3,"person"
"Molina, Pedro Antonio",1,"person"
"Monasterios Velásquez, Jesús María",1,"person"
"Monsalve, José Dolores ",2,"person"
"Monte, D. L.",1,"person"
"Montes del Valle, Agripina",2,"person"
"Montoya Canal, Aníbal",1,"person"
"Montoya Kennedy, F. A.",2,"person"
"Montoya Pérez, Rafael",11,"person"
"Montoya, Antonio José",18,"person"
"Montoya, Eladio",1,"person"
"Montoya, Gabriel",28,"person"
"Montoya, José",11,"person"
"Montoya, Mariano",1,"person"
"Mora Vásquez, José Manuel ",2,"person"
"Mora, Félix",1,"person"
"Mora, José Joaquín de",1,"person"
"Mora, Luis María",1,"person"
"Morales Berti, Luis",1,"person"
"Moréas, Jean",2,"person"
"Moreno Alba, Miguel",2,"person"
"Morice, Charles",1,"person"
"Mosquera, Tomás Cipriano de",7,"person"
"Moussy, Martín de",1,"person"
"Munroo, Alick",1,"person"
"Muñoz Fernández, Francisco de Paula",1,"person"
"Muñoz, Luis J.",1,"person"
"Murena, Claudio",1,"person"
"Murger, Henry",1,"person"
"Murillo, Bartolomé Esteban",1,"person"
"Musset, Alfred de ",2,"person"
"Nanfa, Crisógono de",1,"person"
"Naranjo Martínez, Enrique",4,"person"
"Narváez, Antonio de",3,"person"
"Narváez, Roberto de",1,"person"
"Narváez, Roberto de ",4,"person"
"Nauts, Carlos",2,"person"
"Navas Spínola, Domingo",1,"person"
"Negueri, D.",3,"person"
"Nervo, Amado",10,"person"
"Nieremberg, Juan Eusebio",2,"person"
"Nieto Caballero, Agustín",21,"person"
"Nieto Caballero, Luis Eduardo",4,"person"
"Nieto, Ricardo",8,"person"
"Nogales, José",1,"person"
"Nordau, Max ",1,"person"
"Novicow, F.",1,"person"
"Núñez, Carlos",1,"person"
"Núñez, Rafael",2,"person"
"O'Kelly, James J.",1,"person"
"Obligado, Rafael",1,"person"
"Olano, Ricardo",6,"person"
"Olarte, Enrique",1,"person"
"Olaya Herrera, Enrique",3,"person"
"Onorato, Desiderio",1,"person"
"Orbigny, Alcide Charles Victor Marie Dessalines de",1,"person"
"Orrego Barros, Antonio",1,"person"
"Ortega, Alfredo",4,"person"
"Ortega, Alfredo Tomás",1,"person"
"Ortiz V., Manuel",1,"person"
"Ortiz, José Joaquín",2,"person"
"Ortiz, Nicolás",1,"person"
"Ortiz, Rafael",1,"person"
"Ortiz, Venancio",2,"person"
"Ospina Vásquez, Mariano",40,"person"
"Ospina Vásquez, Tulio",7,"person"
"Ospina, Pedro Nel",5,"person"
"Ossa, Valentín",1,"person"
"Ossorio y Bernard, Manuel",2,"person"
"Ouvré, Henry",1,"person"
"P. A.",1,"person"
"Páez M., Julián",1,"person"
"Paillié, Francisco A.",4,"person"
"Palacio M., Obdulio",2,"person"
"Palacio Muñoz, Obdulio",3,"person"
"Palacio Uribe, Benjamín",1,"person"
"Palacio Uribe, Tomás",1,"person"
"Palacio, Eduardo A. ",1,"person"
"Palacio, Manuel del",5,"person"
"Palacios, Eustaquio",1,"person"
"Paláu R., Antonio M. ",1,"person"
"Paláu, Alfonso",16,"person"
"Paláu, Melchor de",1,"person"
"Palma, Clemente",3,"person"
"Papini, Giovanni",1,"person"
"Pardo Farelo, Enrique",8,"person"
"París, Gonzalo",2,"person"
"París, Luis",1,"person"
"Parma, Juan de ",1,"person"
"Parra Toro, Libardo",5,"person"
"Parville, Henry de",1,"person"
"Pascal, Blaise",1,"person"
"Pastor Ríos, Justo",1,"person"
"Peláez, Anatolio",1,"person"
"Peláez, Aurelio",1,"person"
"Peláez, Fidel",1,"person"
"Peña, Pedro A.",1,"person"
"Pereira Gamba, Fortunato",3,"person"
"Pereira Gamba, Próspero",16,"person"
"Pérez de Guzmán y Gallo, Juan",2,"person"
"Pérez Monsalva, Santiago",2,"person"
"Pérez Nieva, Alfonso",1,"person"
"Pérez Triana, Santiago",9,"person"
"Pérez Zúñiga, Juan",2,"person"
"Pérez, A. J.",1,"person"
"Pérez, Enrique",1,"person"
"Pérez, Felipe",1,"person"
"Pérez, Gregorio",1,"person"
"Pérez, Rafael",1,"person"
"Perrier, Joseph-Luis",1,"person"
"Pí y Margall, Francisco",1,"person"
"Pichardo S., Manuel",1,"person"
"Picón Febrés, Gonzalo ",1,"person"
"Pillo, C.",1,"person"
"Pilon, Edmond",1,"person"
"Pinto, Eliseo",1,"person"
"Pinxit, Ch. Gill",1,"person"
"Pizano, Marco A.",1,"person"
"Pizarro, Alejandro",3,"person"
"Platón",1,"person"
"Poe, Edgar Allan",3,"person"
"Pombo, Lino de",1,"person"
"Pombo, Rafael",9,"person"
"Porcar y Tió, Manuel",1,"person"
"Porras, José Ángel",3,"person"
"Posada Arango, Andrés",3,"person"
"Posada Hernández, Antonio",5,"person"
"Posada, Adolfo",2,"person"
"Posada, Eduardo",12,"person"
"Posada, Guillermo",7,"person"
"Préndez Murúa, Pedro Nolasco",1,"person"
"Prevost, Marcel",1,"person"
"Prudhomme, Sully",8,"person"
"Prutz, Robert",1,"person"
"Puga de Losada, Amalia",1,"person"
"Pujol Martínez, Juan ",1,"person"
"Quevedo Álvarez, Tomás",5,"person"
"Quevedo, Francisco de ",1,"person"
"Quijano Torres, Antonio",1,"person"
"Quijano, Arturo",7,"person"
"Quijano, Arturo A.",1,"person"
"Rabot, Charles",1,"person"
"Rachilde",1,"person"
"Ramírez G., Enrique",2,"person"
"Ramírez, Clodomiro",2,"person"
"Ramos Ruiz, Gonzalo",1,"person"
"Ramos Urdaneta, Alfredo",6,"person"
"Ramos, José Luis",1,"person"
"Rasch Isla, Miguel",5,"person"
"Régnier, Henri de",1,"person"
"Remouchamps, Victor",1,"person"
"Rémy, François",4,"person"
"Rendón, Francisco de Paula",3,"person"
"Rendón, Ricardo",20,"person"
"Restrepo Briceño, Fernando",1,"person"
"Restrepo E., José Vicente ",1,"person"
"Restrepo Euse, Álvaro",3,"person"
"Restrepo Gómez, Francisco",3,"person"
"Restrepo Jaramillo, José Luis ",1,"person"
"Restrepo Maya, José María",3,"person"
"Restrepo Olarte, Jesús",5,"person"
"Restrepo Restrepo, Antonio María",34,"person"
"Restrepo Restrepo, Carlos Eugenio",15,"person"
"Restrepo Rivera, J.",2,"person"
"Restrepo Rivera, Jesús",3,"person"
"Restrepo Rivera, José",6,"person"
"Restrepo Sáenz, José María",1,"person"
"Restrepo Tirado, Ernesto",19,"person"
"Restrepo Vélez, José Manuel",2,"person"
"Restrepo, Antonio José",4,"person"
"Restrepo, José Manuel",10,"person"
"Restrepo, José María",2,"person"
"Restrepo, Juan de Dios",2,"person"
"Restrepo, Lisandro",2,"person"
"Restrepo, Lucio A.",5,"person"
"Restrepo, Paulo Emilio",3,"person"
"Restrepo, Saturnino",59,"person"
"Restrepo, Vicente",17,"person"
"Retté, Adolphe",1,"person"
"Riche, Iván",1,"person"
"Rios de Lamperez, Blanca de los",1,"person"
"Rivas Frade, Federico",10,"person"
"Rivas Groot, Evaristo",1,"person"
"Rivas Groot, José María",4,"person"
"Rivas, Medardo",4,"person"
"Rivas, Raimundo",22,"person"
"Rivera y Garrido, Luciano",4,"person"
"Rivera, José Eustasio",2,"person"
"Robledo J., Alfonso",1,"person"
"Robledo Villa, Alonso",1,"person"
